# $Id$
# 
# References:
#   #1 "The Story of the PING Program" http://ftp.arl.army.mil/~mike/ping.html

# Type,TTL,SeqMSBF,Id,DF,MF,Bytes,Off,PatLen,Payload,OSs
# Type = [ "Req", "Resp" ]
# TTL = [ -1=wildcard, 0..255 ]
#   NOTE: because TTL changes with every hop we round up to the nearest power of 2 as an estimate
#         of the original TTL; best we can do.
# SeqMSBF = which byte order is the sequence in? [ 0=lsbf 1=msbf -1=wildcard ]
# ICMPId = ICMP Echo Id [ -1=wildcard, 0..n ]
# IPIdZ = IP Id is zero? Y=yes N=No
# DF = is the dontfrag bit set in IP? [ 0=no 1=yes -1=wildcard ]
# PayloadBytes = length of payload [ -1=wildcard, 0..n ]
# PayloadOffset = offset of data to match (i.e. skip timestamps)
# PayloadPatLen = length of data pattern, which may be partial or repeated [ -1=auto, 1..n ]
# Payload = contents of the ICMP Echo payload
# OS = comma-separated os key (from os.csv) and weight, i.e. Win311=1.
#      weight is an integer specifying 

# WinNT-based systems
# Type,TTL,SeqMSBF,ICMPId,IPIdZ,DF,Bytes,Off,PatLen,Payload,OSs
echo,  32,       0,0x0100,    N, 0,   32,  0,    -1,"abcdefghijklmnopqrstuvw",WinNT4=15
echo,  32,       0,0x0200,    N, 0,   32,  0,    -1,"abcdefghijklmnopqrstuvw",WinNT5.1=15
echo,  32,       0,0x0200,    N, 0,   32,  0,    -1,"ABCDEFGHIJKLMNOPQRSTUVW",WinNT5.1=15
echo, 128,       0,0x0200,    N, 0,   32,  0,    -1,"abcdefghijklmnopqrstuvw",WinNT5=15
echo, 128,       0,0x0200,    N, 0,   32,  0,    -1,"ABCDEFGHIJKLMNOPQRSTUVW",WinNT5.2=15
echo,  32,       0,0x0300,    N, 0,   32,  0,    -1,"abcdefghijklmnopqrstuvw",WinNT5.1=15
echo, 128,       0,0x0300,    N, 0,   32,  0,    -1,"abcdefghijklmnopqrstuvw",WinNT5=15
echo,  32,       0,0x0400,    N, 0,   32,  0,    -1,"ABCDEFGHIJKLMNOPQRSTUVW",WinNT5.1=15
echo, 128,       0,0x0400,    N, 0,   32,  0,    -1,"abcdefghijklmnopqrstuvw",WinNT5=15
echo,  32,       0,0x0500,    N, 0,   32,  0,    -1,"ABCDEFGHIJKLMNOPQRSTUVW",WinNT5.1=15
echo, 128,       0,0x0500,    N, 0,   32,  0,    -1,"abcdefghijklmnopqrstuvw",WinNT5.1=15

# windows tracert... pretty weak indicator, but we'll take it
# 64 repeated NUL bytes
# Type,TTL,SeqMSBF,ICMPId,IPIdZ,DF,Bytes,Off,PatLen,Payload,OSs
echo,   -1,      0,0x0100,    N, 0,64,0, 1,"\x00",WinNT4=5
echo,   -1,      0,0x0200,    N, 0,64,0, 1,"\x00",WinNT5=5
echo,   -1,      0,0x0400,    N, 0,64,0, 1,"\x00",Windows=5
