# ex: set ff=dos ts=2 et:
# $Id$
#
# A hierarchy of all operating system families and versions
# that we attempt to identify.
#
# We store parent/child relationships so we can generate
# tree-like visualizations, which are useful in double-checking
# our data and also because it's fun for computer nerds like us.
#
# References:
#   #1 Levenz, Eric "Open Systems" Jan 12, 2009
#      <URL: http://www.levenez.com/unix/unix.pdf>
#   #2 [web page] <URL: http://en.wikipedia.org/wiki/Research_UNIX#Versions>
#   #3 [web page] <URL: http://en.wikipedia.org/wiki/SunOS>
#   #4 [web page] <URL: http://en.wikipedia.org/wiki/Solaris_(operating_system)>
#   #5 [web page] <URL: http://en.wikipedia.org/wiki/Linux_kernel#Version_numbering>
#   #6 [web page] <URL: http://en.wikipedia.org/wiki/MacOS#Graphical_timeline>
#   #7 "The History of the NetBSD Project" [web page] http://netbsd.org/about/history.html [Accessed Dec 29 2008]
#   #8 "System V" <URL: http://en.wikipedia.org/wiki/System_V>
#   #9 "A Brief History of FreeBSD" <URL: http://www.freebsd.org/doc/en/books/handbook/history.html> [Accessed Jan 13 2009]
#   #10 "Release Information" <URL: http://www.freebsd.org/releases/>
#   #11 "Changes made between birth and OpenBSD 2.0." <URL: http://www.openbsd.org/plus20.html>
#   #12 "DOS Origins" <URL: http://en.wikipedia.org/wiki/DOS#Origins>
#   #13 "Index of /pub/linux/kernel" [web page] <URL: http://www.kernel.org/pub/linux/kernel/> [Accessed Jan 17 2009]
#   #14 "NetBSD Formal Releases" [web page] <URL: http://www.netbsd.org/releases/formal.html> [Accessed Jan 17 2009]
#   #15 "IRIX" [web page] <URL: http://en.wikipedia.org/wiki/IRIX> [Accessed Jan 17 2009]

#Id,Parent,ParentId,Comment

# the empty but necessary mother of all operating systems
,Unknown,,

# UNIX family
# Research UNIX by Bell Labs (@ref #2)
UNICS,UNICS,,
UNIX,UNIX,UNICS,
UNIX1,UNIX 1st edition,UNIX,"1971"
UNIX2,UNIX 2nd edition,UNIX1,"1972"
UNIX3,UNIX 3rd edition,UNIX2,"1973"
UNIX4,UNIX 4th edition,UNIX3,"1973"
UNIX5,UNIX 5th edition,UNIX4,"1974"
UNIX6,UNIX 6th edition,UNIX5,"1975"
UNIX7,UNIX 7th edition,UNIX6,"1979; prodigious lineage"
UNIX8,UNIX 8th edition,UNIX7,"1985"
UNIX9,UNIX 9th edition,UNIX8,"1986"
UNIX10,UNIX 10th edition,UNIX9,"1989; last research UNIX"
Plan9,Plan9,UNIX10,"1993"

SysVR1,UNIX SysVR1,UNIX,"1983 DEC VAX and PDP-11"
SysVR2,UNIX SysVR2,SysVR1,
SysVR3,UNIX SysVR3,SysVR2,
SysVR4,UNIX SysVR4,SysVR3,

# UNIX wars
UnisoftV7,Unisoft V7,UNIX7,
AIX,IBM AIX,SysVR3,
HPUX,HP-UX,SysVR1,
IRIX,IRIX,SysVR1,
Xenix,SCO Xenix,UnisoftV7,

#
# AIM - IBM's UNIX
#
# References:
#   http://www.operating-system.org/betriebssystem/_english/bs-aix.htm#02
#   http://www.levenez.com/unix/unix_a4.pdf
#
AIX2,    AIX RT/2,    AIX,
AIX2.1.2,AIX RT/2.1.2,AIX2,
AIX2.2.1,AIX RT/2.2.1,AIX2.1.2,
AIX3,    AIX/6000 v3, AIX2.2.1,
AIX3.1,  AIX 3.1,     AIX3,
AIX3.2,  AIX 3.2,     AIX3.1,
AIX3.2.5,AIX 3.2.5,   AIX3.2,
AIX4.1,  AIX 4.1,     AIX3.2.5,
AIX4.2,  AIX 4.2,     AIX4.1,
AIX4.2.5,AIX 4.2.5,   AIX4.2,
AIX4.3,  AIX 4.3,     AIX4.2.5,
AIX5,    AIX 5L 5.0,  AIX4.3,
AIX5.1,  AIX 5L 5.1,  AIX5,
AIX5.2,  AIX 5L 5.2,  AIX5.1,
AIX5.3,  AIX 5L 5.3,  AIX5.2,
AIX6,    AIX 6,       AIX5.3,
AIX6.1,  AIX 6.1,     AIX6,

# @ref #1
# @ref #14
IRIX2,    IRIX 2,    IRIX,
IRIX3,    IRIX 3,    IRIX2,
IRIX4,    IRIX 4,    IRIX3,
IRIX5,    IRIX 5,    IRIX4,
IRIX6,    IRIX 6,    IRIX5,
IRIX6.1,  IRIX 6.1,  IRIX6,
IRIX6.2,  IRIX 6.2,  IRIX6.1,
IRIX6.3,  IRIX 6.3,  IRIX6.2,
IRIX6.4,  IRIX 6.4,  IRIX6.3,
IRIX6.5,  IRIX 6.5,  IRIX6.4,
IRIX6.5.x,IRIX 6.5.x,IRIX6.5,"officially dead as of Sep 6 2006"

# BSD family
# @ref #1
# @ref #7
