sqlite> select a1.from_,h.addr,h.contents,h2.hintsrc,h2.contents,count(*) as cnt from hint h join addr as a1 on a1.to_ = h.addr join hint as h2 on h2.addr = a1.from_ and h2.hintsrc = 'BOOTP.Fingerprint' where h.hintsrc = 'BROWSE.OS' group by h.contents,h2.contents order by length(h2.contents) desc, h2.contents desc, cnt desc;
a1.from_           h.addr       h.contents  h2.hintsrc         h2.contents                                                             cnt
-----------------  -----------  ----------  -----------------  ----------------------------------------------------------------------  ----------
00:1a:a0:5f:30:52  10.43.97.62  6.0         BOOTP.Fingerprint  128,Req,"53,61,50,54,12,81,60,55","1,15,3,6,44,46,47,31,33,121,249,43"  1
00:1e:4f:51:fe:e4  169.254.145  5.1         BOOTP.Fingerprint  128,Req,"53,61,50,54,12,81,60,55,43","1,15,3,6,44,46,47,31,33,249,43"   3
00:1a:a0:5f:30:52  10.43.97.62  6.0         BOOTP.Fingerprint  128,Dis,"53,116,61,50,12,60,55","1,15,3,6,44,46,47,31,33,121,249,43"    1
00:1a:a0:5f:30:52  10.43.97.62  6.0         BOOTP.Fingerprint  128,Req,"53,61,50,12,81,60,55","1,15,3,6,44,46,47,31,33,121,249,43"     2
00:1e:4f:51:fe:e4  169.254.145  5.1         BOOTP.Fingerprint  128,Dis,"53,116,61,50,12,60,55,43","1,15,3,6,44,46,47,31,33,249,43"     3
00:0b:db:d6:e1:c4  10.43.99.5   5.1         BOOTP.Fingerprint  128,Req,"53,77,61,50,54,12,60,55","1,15,3,6,44,46,47,31,33,249,43"      1
00:23:7d:3b:5a:30  10.43.97.12  5.2         BOOTP.Fingerprint  128,Req,"53,61,50,54,12,81,60,55","1,15,3,6,44,46,47,31,33,249,43"      2
00:0f:1f:66:5f:78  10.43.97.3   5.1         BOOTP.Fingerprint  128,Req,"53,61,50,54,12,81,60,55","1,15,3,6,44,46,47,31,33,249,43"      1
00:06:5b:bb:1c:37  10.43.97.13  5.1         BOOTP.Fingerprint  128,Req,"53,61,50,12,81,60,55,43","1,15,3,6,44,46,47,31,33,249,43"      18
